email,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,FDASFDSAFSADFADSDDJHJHHJHDHG,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please enter a valid telephone number.,,CC-checkoutAddressBook-sphone-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,,Test,Visa,4205260000000005,123,02 - February,2019,This field is required.,,CC-checkoutAddressBook-sphone-error
Test@test.com,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,State/Region,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Country is mandatory.,,CC-checkoutAddressBook-scountry-error
Test@test.com,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,State is mandatory.,,CC-checkoutAddressBook-sstate-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,6513241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,43444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,,American Express,341111597241002,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,American Express,341111597241002,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-cardCVV-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,6513241324248235432432,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248412342314231,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,2413242484321421341234213413,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
test123@gmail.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248413242314123,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
test123@test.com,test,test1,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,Expires (Month),2019,Card expires month is mandatory.,,CC-checkoutPaymentDetails-endMonth-error
test123@test.com,test,test1,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,Expires (Year),Card expires year is mandatory.,,CC-checkoutPaymentDetails-endYear-error
