email,rfname,rlname,pass,cpass,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,bfname,blname,bcontry,baddress1,baddress2,bcity,bstateregion,bzipcode,bphone,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,6513241324248235432432,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248412342314231,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,2413242484321421341,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248413242314123,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Card expires month is mandatory.,,CC-checkoutPaymentDetails-endMonth-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Card expires year is mandatory.,,CC-checkoutPaymentDetails-endYear-error


