email,rfname,rlname,pass,cpass,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
Test@test.com,Test,Data,test@123,test@123,test,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-slastname-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-saddress1-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Address Line 1 is mandatory.,,CC-checkoutAddressBook-saddress1-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 50 characters.,,CC-checkoutAddressBook-scity-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Zip/Postal Code is mandatory.,,CC-checkoutAddressBook-szipcode-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,000009,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please enter a valid zip/postal code.,,CC-checkoutAddressBook-szipcode-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,000009000980980980980,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 10 characters.,,CC-checkoutAddressBook-szipcode-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300150359016509312953219521309501325123750132,Test,Visa,4205260000000005,123,02 - February,2022,Invalid entry. Please do not exceed the maximum of 15 characters.,CC-checkoutAddressBook-sphone-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Country is mandatory.,CC-checkoutAddressBook-scountry-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,State is mandatory.,CC-checkoutAddressBook-sstate-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,241324248,1234,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,43444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,DataFJJGKJGJGJGJGKJKJKFKFdsfdsafdsafsadf,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Datadfadsfadsfsadfsadfadsfadsfsdsdfsadfa,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Dataadfasdfasdfasddsfsadfsadfasdfasdfasd,American Express,341111597241002,123,02 - February,2019,Name on Card is mandatory.,,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Datadsafadsfasdfadsfasdfasddsfdsfdsafasd,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,American Express,341111597241002,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,6513241324248235432432,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248412342314231,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,2413242484321421341,1234,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248413242314123,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 20 characters.,,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Card expires month is mandatory.,,CC-checkoutPaymentDetails-endMonth-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Card expires year is mandatory.,,CC-checkoutPaymentDetails-endYear-error

